ARH	PCATASTRAL1	PCATASTRAL2	SUBPARCELA	VALOR	TIPO	AATIPO	IPP	SUPERFICIE	NINTERNO	NINTERNO_SUBPARCELA	CIRCULARIDAD	CONVEXIDAD	ELONGACION	PLUVIOMETRIA	TIPO_VERANO	ETP	TM	TMIN	CLASIF	INV	TUSEC	TUREG	REGIHU	REGITE	PLU	PSECO	PFRIO	PCAL	ALTURA_MEDIA	PENDIENTE_MEDIA	ORIENTACION_MEDIA	LAT	LON
1604	46122A0	100155	b	24800	FCR	FR	2	216.364358	1989	6	3567	217823092	175587058	0.514	0.934	0.476	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32675	39.48999
1611	46249A0	800817	b	16100	FCR	FR	0	205.54614	1989	8	272	217654180	175520410	0.371	0.999	0.763	750	4	30	14	67	7	3	15	45	4	18	500	4	5	2	5.32428	39.49006
1604	46122A0	500019	b	24800	FCR	FR	1	227.182575	1989	5	265	217822770	175583634	0.697	0.999	0.457	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.31894	39.49014
1604	46122A0	500004	b	24800	FCR	FR	1	227.182575	1989	5	188	217822397	175583894	0.199	0.866	0.598	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33576	39.49014
1604	46122A0	1500022	b	24800	FCR	FR	2	216.364358	1989	6	216	217826946	175584650	0.566	0.979	0.643	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33282	39.49016
1604	46122A0	700292	0	24800	FCR	FR	1	227.182575	1989	5	133	217821602	175585737	0.479	0.996	0.561	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.3335	39.49017
1604	46122A0	600784	0	24800	FCR	FR	1	227.182575	1989	5	417	217822015	175586294	0.698	1	0.325	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33051	39.49017
1604	46122A0	700093	d	24800	FCR	FR	2	216.364358	1989	6	246	217825095	175587452	0.223	0.644	0.101	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32733	39.49018
1604	46122A0	700364	b	24800	FCR	FR	1	227.182575	1989	5	492	217827024	175588228	0.535	0.968	0.296	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32767	39.49018
1604	46122A0	800242	0	24800	FCR	FR	1	227.182575	1989	5	133	217823281	175586132	0.537	0.969	0.198	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32882	39.49024
1604	46121A0	500069	0	24800	FCR	FR	1	238.000793	1989	4	2860	217795706	175582814	0.721	1	0.224	850	4	34	18	62	6	4	25	50	3	6	700	4	4	2	5.32492	39.49026
1604	46122A0	600470	0	24800	FCR	FR	1	227.182575	1989	5	244	217824587	175583648	0.6	1	0.4	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.31701	39.49031
1604	46122A0	600470	0	24800	CIT	FR	1	227.182575	1989	5	244	217824587	175583648	0.6	1	0.4	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33	39.49031
1604	46122A0	600811	0	24800	FCR	FR	1	227.182575	1989	5	46	217822492	175584972	0.72	1	0.319	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.31936	39.49038
1604	46122A0	600711	0	24800	FCR	FR	1	227.182575	1989	5	1164	217821157	175587367	0.816	1	0.067	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33814	39.49038
1604	46122A0	1500523	b	24800	FCR	FR	1	227.182575	1989	5	364	217826490	175587598	0.473	0.845	0.199	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33186	39.49039
1604	46122A0	1500505	c	24800	FCR	FR	1	227.182575	1989	5	64	217826898	175587604	0.72	0.995	0.201	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33533	39.49041
1604	46258A0	2900072	a	24800	FCR	FR	1	270.455447	1989	1	1661	264446070	175846301	0.784	1	0.143	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.32545	39.49041
1604	46258A0	400276	0	24800	FCR	FR	2	227.182575	1989	5	1647	218161066	175843663	0.754	1	0.295	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.32102	39.49043
1605	46250A0	3700068	0	18600	FCR	FR	1	205.54614	1989	8	11272	217842956	175613301	0.724	1	0.345	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.31913	39.49047
1605	46250A0	3700095	a	18600	FCR	FR	2	194.727922	1989	10	5517	217843177	175613569	0.619	0.991	0.382	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33004	39.49047
1605	46250A0	3700097	0	18600	FCR	FR	1	205.54614	1989	8	6641	217843178	175613571	0.67	1	0.335	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.33092	39.4906
1605	46250A0	3700239	0	18600	FCR	FR	2	194.727922	1989	10	5988	217841263	175614147	0.702	1	0.223	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33136	39.49061
1604	46258A0	2800145	a	24800	FCR	FR	2	227.182575	1989	5	1323	264442998	175846966	0.552	1	0.446	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.32756	39.49068
1604	46258A0	2800002	a	24800	FCR	FR	2	227.182575	1989	5	814	264443011	175846970	0.494	1	0.614	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.40066	39.49068
1605	46250A0	3700153	0	18600	FCR	FR	2	194.727922	1989	10	2306	217844211	175614769	0.641	1	0.342	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.3176	39.49069
1605	46250A0	3700155	0	18600	FCR	FR	2	194.727922	1989	10	2617	217844213	175614771	0.733	1	0.103	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33639	39.49078
1605	46250A0	2500196	0	18600	FCR	FR	2	194.727922	1989	10	2960	217848966	175618389	0.713	0.999	0.334	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33141	39.4908
1605	46250A0	2500197	0	18600	FCR	FR	2	194.727922	1989	10	694	217848967	175618390	0.726	0.999	0.124	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32201	39.4908
1605	46250A0	2500198	0	18600	FCR	FR	2	194.727922	1989	10	1204	217848968	175618391	0.644	0.999	0.303	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.31761	39.49083
1604	46258A0	100343	0	24800	FCR	FR	3	205.54614	1989	8	1243	218159856	175843534	0.562	1	0.516	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.33953	39.49085
1605	46250A0	3000166	0	18600	FCR	FR	3	183.909704	1989	12	6951	217857207	175612791	0.811	0.984	0.076	850	4	30	16	62	6	3	20	50	4	6	500	4	5	1	5.33082	39.49086
1605	46250A0	2500200	0	18600	FCR	FR	2	194.727922	1989	10	720	217848970	175618393	0.746	1	0.115	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33635	39.49093
1605	46250A0	2500201	0	18600	FCR	FR	2	194.727922	1989	10	775	217848971	175618394	0.776	1	0.046	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33399	39.49094
1605	46250A0	2500203	0	18600	FCR	FR	2	194.727922	1989	10	1014	217848973	175618396	0.785	1	0.11	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.3532	39.49101
1605	46250A0	2500204	0	18600	FCR	FR	2	194.727922	1989	10	1237	217848974	175618397	0.607	0.992	0.409	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33865	39.49102
1605	46250A0	2500208	0	18600	FCR	FR	2	194.727922	1989	10	570	217848978	175618401	0.712	1	0.217	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.32967	39.49102
1605	46250A0	2400189	0	18600	FCR	FR	3	183.909704	1989	12	3269	217851907	175618339	0.675	0.972	0.229	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32187	39.49103
1605	46250A0	2400193	0	18600	FCR	FR	3	183.909704	1989	12	3800	217851911	175618345	0.652	0.965	0.19	850	4	30	16	62	6	3	20	50	3	6	700	4	5	1	5.32672	39.49107
1611	46001A0	1500087	b	16100	FCR	FR	1	238.000793	1989	4	1635	214743554	173532319	0.136	0.956	0.868	750	5	30	12	65	7	3	10	35	4	13	350	5	7	2	5.32676	39.49109
1605	46250A0	3800029	0	18600	FCR	FR	3	183.909704	1989	12	3047	217845183	175614465	0.778	1	0.117	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.32687	39.49112
1605	46250A0	3800030	0	18600	FCR	FR	1	205.54614	1989	8	6264	217845184	175614466	0.795	1	0.182	850	4	30	16	62	6	3	20	50	4	6	500	4	4	1	5.30267	39.49112
1604	46258A0	3001445	d	24800	FCR	FR	2	227.182575	1989	5	2838	218152748	175845731	0.759	0.999	0.237	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.3288	39.4912
1604	46258A0	3100033	0	24800	FCR	FR	3	205.54614	1989	8	970	218154579	175842635	0.634	1	0.328	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.3293	39.49122
